,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url
0,b'deathcold666',2020-09-25 07:20:09,"b""RT @Singh_Gurmeeet: A #Sikh openly rejecting registration at #SFJ's stall! Those manning the deserted stall at Rexdale gurdwara sahib go sh\xe2\x80\xa6""","[{'text': 'Sikh', 'indices': [22, 27]}, {'text': 'SFJ', 'indices': [61, 65]}]",3,0,[]
1,b'atulsubodh',2020-09-24 11:58:27,"b""RT @Singh_Gurmeeet: A #Sikh openly rejecting registration at #SFJ's stall! Those manning the deserted stall at Rexdale gurdwara sahib go sh\xe2\x80\xa6""","[{'text': 'Sikh', 'indices': [22, 27]}, {'text': 'SFJ', 'indices': [61, 65]}]",3,0,[]
2,b'KaranpreetDhil3',2020-09-24 11:54:41,"b""RT @Singh_Gurmeeet: A #Sikh openly rejecting registration at #SFJ's stall! Those manning the deserted stall at Rexdale gurdwara sahib go sh\xe2\x80\xa6""","[{'text': 'Sikh', 'indices': [22, 27]}, {'text': 'SFJ', 'indices': [61, 65]}]",3,0,[]
3,b'Singh_Gurmeeet',2020-09-24 09:03:53,"b""A #Sikh openly rejecting registration at #SFJ's stall! Those manning the deserted stall at Rexdale gurdwara sahib g\xe2\x80\xa6 https://t.co/0CBrLc4RXN""","[{'text': 'Sikh', 'indices': [2, 7]}, {'text': 'SFJ', 'indices': [41, 45]}]",3,8,"[{'url': 'https://t.co/0CBrLc4RXN', 'expanded_url': 'https://twitter.com/i/web/status/1309055948250587139', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
4,b'BhaskarSahi',2020-09-21 13:22:18,b'@arifaajakia @Khalistan2020 #khalistan2020 Say something nice to your paki friends!',"[{'text': 'khalistan2020', 'indices': [28, 42]}]",0,1,[]
