,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,url
3132,b'kaurr__Seeerat',2020-09-21 16:16:13,"b""It's unbelievable that @CBCTerry Is tired to see #Khalistan #Register2Vote2020 Posters In #Canada And Labels\xe2\x80\xa6 https://t.co/a3XfRq0zVs""","[{'text': 'Khalistan', 'indices': [49, 59]}, {'text': 'Register2Vote2020', 'indices': [60, 78]}, {'text': 'Canada', 'indices': [90, 97]}]",0,0,"[{'url': 'https://t.co/a3XfRq0zVs', 'expanded_url': 'https://twitter.com/i/web/status/1308077584878575616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]"
3133,b'shuruti_sandhea',2020-09-21 16:07:20,"b""@shuruti_sandhea's account has been withheld in India in response to a legal demand. Learn more.""",[],0,0,"[{'url': 'https://support.twitter.com/articles/20169222', 'expanded_url': 'https://support.twitter.com/articles/20169222', 'display_url': 'Learn more', 'indices': [85, 95]}]"
3134,b'shuruti_sandhea',2020-09-21 16:07:11,"b""@shuruti_sandhea's account has been withheld in India in response to a legal demand. Learn more.""",[],0,0,"[{'url': 'https://support.twitter.com/articles/20169222', 'expanded_url': 'https://support.twitter.com/articles/20169222', 'display_url': 'Learn more', 'indices': [85, 95]}]"
3135,b'MrMazharShah',2020-09-21 15:51:38,b'RT @MrMazharShah: Indians have no ethics of war....\nThey are blood suckers.... \n#VeenaSePucho \n\n#Jihad_For_Kashmir #Khalistan #FreeKashmir\xe2\x80\xa6',"[{'text': 'VeenaSePucho', 'indices': [80, 93]}, {'text': 'Jihad_For_Kashmir', 'indices': [96, 114]}, {'text': 'Khalistan', 'indices': [115, 125]}, {'text': 'FreeKashmir', 'indices': [126, 138]}]",15,0,[]
3136,b'dudjalabi',2020-09-21 14:49:30,b'@AJEnglish #endia is a threat to regional peace \xe2\x9c\x8c\xef\xb8\x8f \n#RSSTerrorists #terrorists #RAW \nFree #Kashmir #Khalistan \xe2\x9c\x8a',"[{'text': 'endia', 'indices': [11, 17]}, {'text': 'RSSTerrorists', 'indices': [52, 66]}, {'text': 'terrorists', 'indices': [67, 78]}, {'text': 'RAW', 'indices': [79, 83]}, {'text': 'Kashmir', 'indices': [90, 98]}, {'text': 'Khalistan', 'indices': [99, 109]}]",0,1,[]
3137,b'agaysamundarhai',2020-09-21 14:46:58,b'@Mahim_Maher @rogueonomist @samaamoney Instead of a #newprovince we #Karachiites shd have our own #country.\xe2\x80\xa6 https://t.co/S4JB7yFpsa',"[{'text': 'newprovince', 'indices': [52, 64]}, {'text': 'Karachiites', 'indices': [68, 80]}, {'text': 'country', 'indices': [98, 106]}]",0,1,"[{'url': 'https://t.co/S4JB7yFpsa', 'expanded_url': 'https://twitter.com/i/web/status/1308055122648457216', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]"
3138,b'Diljeet_Aroroa',2020-09-21 14:30:49,b'Ridiculous @CBCTerry Is tired to see #Khalistan #Register2Vote2020 Posters In #Canada And Labels #Referendum2020 As\xe2\x80\xa6 https://t.co/EOlPOwbglu',"[{'text': 'Khalistan', 'indices': [37, 47]}, {'text': 'Register2Vote2020', 'indices': [48, 66]}, {'text': 'Canada', 'indices': [78, 85]}, {'text': 'Referendum2020', 'indices': [97, 112]}]",0,0,"[{'url': 'https://t.co/EOlPOwbglu', 'expanded_url': 'https://twitter.com/i/web/status/1308051058476933121', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3139,b'ashishsah168',2020-09-21 14:27:22,b'RT @Gsimran07: Memorandum submitted at Pak High Commission #PHC by #DSGMC demanding safety &amp; security of #Sikh families in #Pakistan &amp; to h\xe2\x80\xa6',"[{'text': 'PHC', 'indices': [59, 63]}, {'text': 'DSGMC', 'indices': [67, 73]}, {'text': 'Sikh', 'indices': [109, 114]}, {'text': 'Pakistan', 'indices': [127, 136]}]",8,0,[]
3140,b'harpareet_singh',2020-09-21 14:25:36,b'Pathetic how @CBCTerry Is getting annoyed seeing #Khalistan #Register2Vote2020 Posters In #Canada And Labels\xe2\x80\xa6 https://t.co/8mvkWvT4B1',"[{'text': 'Khalistan', 'indices': [49, 59]}, {'text': 'Register2Vote2020', 'indices': [60, 78]}, {'text': 'Canada', 'indices': [90, 97]}]",0,0,"[{'url': 'https://t.co/8mvkWvT4B1', 'expanded_url': 'https://twitter.com/i/web/status/1308049748117647363', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]"
3141,b'KirannKaurr___',2020-09-21 14:24:46,b'Pathetic @CBCTerry Is Annoyed To See #Khalistan #Register2Vote2020 Posters In #Canada And Labels #Referendum2020 As\xe2\x80\xa6 https://t.co/JtLDgs9iCd',"[{'text': 'Khalistan', 'indices': [37, 47]}, {'text': 'Register2Vote2020', 'indices': [48, 66]}, {'text': 'Canada', 'indices': [78, 85]}, {'text': 'Referendum2020', 'indices': [97, 112]}]",0,0,"[{'url': 'https://t.co/JtLDgs9iCd', 'expanded_url': 'https://twitter.com/i/web/status/1308049535407718403', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3142,b'MahaveerRsingh',2020-09-21 14:21:57,"b""@MahaveerRsingh's account has been withheld in India in response to a legal demand. Learn more.""",[],0,0,"[{'url': 'https://support.twitter.com/articles/20169222', 'expanded_url': 'https://support.twitter.com/articles/20169222', 'display_url': 'Learn more', 'indices': [84, 94]}]"
3143,b'arnavvsinghhh',2020-09-21 14:19:28,"b""@arnavvsinghhh's account has been withheld in India in response to a legal demand. Learn more.""",[],0,0,"[{'url': 'https://support.twitter.com/articles/20169222', 'expanded_url': 'https://support.twitter.com/articles/20169222', 'display_url': 'Learn more', 'indices': [83, 93]}]"
3144,b'Ha_rpreet',2020-09-21 14:17:02,b'#Terry is doing propaganda against #SFJ because #SFJ has launched #VoterRegistration door to door #Registration fro\xe2\x80\xa6 https://t.co/yDcKLaznfV',"[{'text': 'Terry', 'indices': [0, 6]}, {'text': 'SFJ', 'indices': [35, 39]}, {'text': 'SFJ', 'indices': [48, 52]}, {'text': 'VoterRegistration', 'indices': [66, 84]}, {'text': 'Registration', 'indices': [98, 111]}]",0,0,"[{'url': 'https://t.co/yDcKLaznfV', 'expanded_url': 'https://twitter.com/i/web/status/1308047589481345029', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3145,b'Ha_rpreet',2020-09-21 14:16:45,b'#Terry is doing propaganda against #SFJ because #SFJ has launched #VoterRegistration door to door #Registration fro\xe2\x80\xa6 https://t.co/8jBwD0CS8H',"[{'text': 'Terry', 'indices': [0, 6]}, {'text': 'SFJ', 'indices': [35, 39]}, {'text': 'SFJ', 'indices': [48, 52]}, {'text': 'VoterRegistration', 'indices': [66, 84]}, {'text': 'Registration', 'indices': [98, 111]}]",0,0,"[{'url': 'https://t.co/8jBwD0CS8H', 'expanded_url': 'https://twitter.com/i/web/status/1308047517104377857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
