,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
112,b'manlikeOD',2020-09-30 11:01:28,b'#RevolutionNow #BiafraExit #OduduwaExit #BiafraReferendum #OduduwaRepublic #Referendum2020 I\xe2\x80\x99m up for whatever as l\xe2\x80\xa6 https://t.co/hv7GxREp5e',"[{'text': 'RevolutionNow', 'indices': [0, 14]}, {'text': 'BiafraExit', 'indices': [15, 26]}, {'text': 'OduduwaExit', 'indices': [27, 39]}, {'text': 'BiafraReferendum', 'indices': [40, 57]}, {'text': 'OduduwaRepublic', 'indices': [58, 74]}, {'text': 'Referendum2020', 'indices': [75, 90]}]",0,2,,,"[{'url': 'https://t.co/hv7GxREp5e', 'expanded_url': 'https://twitter.com/i/web/status/1311259863759155202', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
113,b'ChopraDilpreet',2020-09-30 09:54:22,"b'RT @Ek_Khalistan: #Pannun - one man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; defami\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [18, 25]}, {'text': 'HateSpeech', 'indices': [76, 87]}, {'text': 'Violence', 'indices': [99, 108]}]",5,0,,,[]
114,b'Ek_Khalistan',2020-09-30 09:29:46,"b'#Pannun - one man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp;\xe2\x80\xa6 https://t.co/ryo7eqdSKs'","[{'text': 'Pannun', 'indices': [0, 7]}, {'text': 'HateSpeech', 'indices': [58, 69]}, {'text': 'Violence', 'indices': [81, 90]}]",5,12,,,"[{'url': 'https://t.co/ryo7eqdSKs', 'expanded_url': 'https://twitter.com/i/web/status/1311236787545702400', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]"
115,b'eblessedceo',2020-09-30 09:00:10,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",5,0,,,[]
116,b'Sumit__Sharma07',2020-09-30 09:00:05,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
117,b'Felawasaprophet',2020-09-30 08:00:46,b'Please sign this Poll by @channelstv let the Govt know what we want. \n#Referendum2020 https://t.co/JImGqxq3Of',"[{'text': 'Referendum2020', 'indices': [70, 85]}]",0,0,,,"[{'url': 'https://t.co/JImGqxq3Of', 'expanded_url': 'https://twitter.com/sunrisedailynow/status/1310482193421078528', 'display_url': 'twitter.com/sunrisedailyno…', 'indices': [86, 109]}]"
118,b'Harshatgoyal3',2020-09-30 07:39:45,"b'RT @Karanve50449212: ""They put the posters of #Referendum2020 beside Guru Granth Sahib and put the pictures of these terrorists beside Sikh\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [46, 61]}]",17,0,,,[]
119,b'Shubh_DeeP139',2020-09-30 05:20:32,b'RT @KaurVeera120596: The failure of #Referendum2020 is inevitable. That is why #Pannun is trying all his strategies in one go. Be it Door -\xe2\x80\xa6',"[{'text': 'Referendum2020', 'indices': [36, 51]}, {'text': 'Pannun', 'indices': [79, 86]}]",29,0,,,[]
120,b'JswBajwa6',2020-09-30 04:53:37,b'#shameonpakistan #referendum2020\nWhy is #SFJ silent on this? https://t.co/oOADlSghUJ',"[{'text': 'shameonpakistan', 'indices': [0, 16]}, {'text': 'referendum2020', 'indices': [17, 32]}, {'text': 'SFJ', 'indices': [40, 44]}]",0,0,,,[]
121,b'MercadoMagicoMX',2020-09-30 02:35:28,"b'RT @mercadomagico: Switzerland referendum: Voters reject end to free movement with EU\nWith all votes counted, nearly 62% people have said t\xe2\x80\xa6'",[],2,0,,,[]
122,b'NeoMagic_Corp',2020-09-30 02:33:54,"b'RT @mercadomagico: Switzerland referendum: Voters reject end to free movement with EU\nWith all votes counted, nearly 62% people have said t\xe2\x80\xa6'",[],2,0,,,[]
123,b'gmoscrip',2020-09-30 00:10:27,"b""It's still a no for me then.......\xf0\x9f\x98\x81\xf0\x9f\x91\x8d\xf0\x9f\x8d\xbb\n\n#Referendum2020 \n\nUp in smoke: Cannabis-growing renters set million dollar r\xe2\x80\xa6 https://t.co/fKHDNCRUrS""","[{'text': 'Referendum2020', 'indices': [39, 54]}]",0,0,,,"[{'url': 'https://t.co/fKHDNCRUrS', 'expanded_url': 'https://twitter.com/i/web/status/1311096030084038656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
124,b'DrKhimjiV',2020-09-29 20:04:16,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
125,b'DimensionlessOm',2020-09-29 18:15:11,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
